model,E,regime,N_star,N,ais_lag1,ais_lag2,ais_lag3,h_target,normalized,adequacy
pairwise,2472,rise,9.437419786698186,15,nan,nan,nan,nan,nan,24000.0
pairwise,2472,rise,9.437419786698186,16,nan,nan,nan,nan,nan,25600.0
pairwise,2472,rise,9.437419786698186,17,nan,nan,nan,nan,nan,27200.0
pairwise,2472,rise,9.437419786698186,18,nan,nan,nan,nan,nan,28800.0
pairwise,2472,rise,9.437419786698186,19,nan,nan,nan,nan,nan,30400.0
pairwise,2472,rise,9.437419786698186,20,nan,nan,nan,nan,nan,32000.0
pairwise,2472,rise,9.437419786698186,21,nan,nan,nan,nan,nan,33600.0
pairwise,2472,rise,9.437419786698186,22,nan,nan,nan,nan,nan,35200.0
pairwise,2472,rise,9.437419786698186,23,nan,nan,nan,nan,nan,36800.0
pairwise,2472,rise,9.437419786698186,24,nan,nan,nan,nan,nan,38400.0
pairwise,3.624e+04,rise,14.48857260653879,2,nan,nan,nan,nan,nan,3200.0
pairwise,3.624e+04,rise,14.48857260653879,3,nan,nan,nan,nan,nan,4800.0
pairwise,3.624e+04,rise,14.48857260653879,4,nan,nan,nan,nan,nan,6400.0
pairwise,3.624e+04,rise,14.48857260653879,5,nan,nan,nan,nan,nan,8000.0
